CRISIS ID,COUNTRY,ISO3,Improvement_Rate_Raw,Improvement_Rate_Normalized,INFORM_Start,INFORM_End,Duration_Months,Effectiveness_Score_100
MNG002,Mongolia,MNG,0.1,1.0,2.6,2.4,2,91.8965014604139
PNG001,Papua New Guinea,PNG,0.0999999999999998,0.9999999999999988,2.3,2.1,2,88.13475570294791
GMB002,Gambia,GMB,0.05,0.9999999999999998,1.7,1.4,6,93.2788782038718
MDG005,Madagascar,MDG,0.05,0.5,2.6,2.5,2,49.99999999999999
LKA001,Sri Lanka,LKA,0.0499999999999999,0.7499999999999996,3.3,3.0,6,69.05356668972932
NPL003,Nepal,NPL,0.0428571428571428,0.7142857142857139,2.4,2.1,7,69.76799301589382
BGD010,Bangladesh,BGD,0.0399999999999999,0.6999999999999996,4.1,3.9,5,70.57516987559347
TLS002,Timor Leste,TLS,0.0333333333333332,0.8888888888888885,1.4,1.3,3,84.17171450449797
CIV002,Côte d'Ivoire,CIV,0.0285714285714285,0.6428571428571425,2.3,2.1,7,65.65862024718231
ARM003,Armenia,ARM,0.025,0.625,2.2,2.1,4,66.01763557679936
PNG003,Papua New Guinea,PNG,0.023076923076923,0.6153846153846153,2.6,1.7,39,52.19097822821713
RUS002,Russia,RUS,0.0227272727272727,0.6136363636363635,3.2,2.7,22,60.53876862451887
LKA002,Sri Lanka,LKA,0.0208333333333333,0.6041666666666665,3.4,2.9,24,58.87239268311157
IRQ002,Iraq,IRQ,0.0166666666666666,0.5833333333333333,3.5,3.4,6,58.90767534958411
EGY002,Egypt,EGY,0.0161290322580645,0.7741935483870968,2.2,1.7,31,61.59607830928464
MAR002,Morocco,MAR,0.0146341463414634,0.573170731707317,2.1,1.5,41,50.781308059084296
ERI001,Eritrea,ERI,0.0126984126984126,0.5634920634920634,3.8,3.0,63,51.1233708338072
TGO002,Togo,TGO,0.0125,0.5625,2.4,2.3,8,61.69032372897891
COG001,Congo,COG,0.010204081632653,0.5510204081632653,3.2,2.7,49,44.09852541715363
LBY005,Libya,LBY,0.0090909090909091,0.5454545454545454,3.4,3.3,11,58.65788218314357
TON002,Tonga,TON,0.0090909090909091,0.7272727272727273,1.3,1.2,11,74.83022519280375
MAR001,Morocco,MAR,0.0083333333333333,0.5416666666666667,2.9,2.8,12,56.29050863069745
SYR003,Syria,SYR,0.0076923076923076,0.5384615384615383,4.6,4.5,13,58.12808452518921
AZE002,Azerbaijan,AZE,0.0074074074074074,0.537037037037037,1.8,1.6,27,50.05011512914758
THA001,Thailand,THA,0.0073170731707317,0.5365853658536586,2.1,1.8,41,55.38440562807959
IRQ001,Iraq,IRQ,0.0071428571428571,0.5357142857142857,3.9,3.5,56,43.89126603710313
MRT003,Mauritania,MRT,0.0066666666666666,0.5333333333333333,2.9,2.5,60,55.53282007454917
SYR001,Syria,SYR,0.0061224489795918,0.5306122448979592,4.9,4.6,49,52.48615550563615
PHL003,Philippines,PHL,0.0057692307692307,0.5288461538461537,2.4,2.1,52,54.434081857691474
EST002,Estonia,EST,0.0055555555555555,0.5277777777777778,1.3,1.2,18,59.62467347285876
PRK001,DPRK,PRK,0.0047619047619047,0.5238095238095237,4.1,3.8,63,54.98889002682906
SOM001,Somalia,SOM,0.0047619047619047,0.5238095238095237,4.6,4.3,63,51.448663515402274
VEN001,Venezuela,VEN,0.0047619047619047,0.5238095238095237,4.1,3.8,63,54.36149088639494
BLR002,Belarus,BLR,0.004,0.52,1.8,1.7,25,54.8974946514577
LBY001,Libya,LBY,0.0039215686274509,0.5196078431372548,4.1,3.9,51,50.23675037822804
COL001,Colombia,COL,0.0033333333333333,0.5166666666666667,4.2,4.0,60,51.8364008536126
SWZ001,Eswatini,SWZ,0.0032258064516129,0.5161290322580645,2.6,2.4,62,53.13360971078147
TTO002,Trinidad and Tobago,TTO,0.0031746031746031,0.5158730158730158,1.5,1.3,63,50.583111931101854
DJI001,Djibouti,DJI,0.0031746031746031,0.5158730158730158,2.9,2.7,63,53.92065246508646
TUN002,Tunisia,TUN,0.0024390243902439,0.5121951219512195,1.8,1.7,41,48.95644265757562
ITA002,Italy,ITA,0.0018518518518518,0.5092592592592593,1.9,1.8,54,50.27632751593147
BDI001,Burundi,BDI,0.0017241379310344,0.5086206896551724,3.3,3.2,58,49.374027271213095
SLV001,El Salvador,SLV,0.0015873015873015,0.507936507936508,3.0,2.9,63,54.92302142418693
ZWE001,Zimbabwe,ZWE,0.0015873015873015,0.507936507936508,3.7,3.6,63,53.09857986660633
GTM001,Guatemala,GTM,0.0015873015873015,0.507936507936508,3.4,3.3,63,55.323618023823
AFG001,Afghanistan,AFG,0.0015873015873015,0.5079365079365079,4.6,4.5,63,54.98862552531235
TCD001,Chad,TCD,0.0015873015873015,0.5079365079365079,4.1,4.0,63,49.78898500936592
BDI005,Burundi,BDI,0.0,0.5,3.4,3.4,4,57.2801591464864
BFA004,Burkina Faso,BFA,0.0,0.6666666666666666,3.8,3.8,3,73.11921120152483
AGO002,Angola,AGO,0.0,0.5,3.2,3.2,48,51.55875372950348
