ISO3,Year,Country,INFORM_Mean,INFORM_Change,FTS_Requirements,FTS_Funding,FTS_Percent_Funded,FTS_Funding_Gap,Score_Coverage,Score_Efficiency,Score_Outcome,Score_Gap,Effectiveness_Score,Effectiveness_Category,Is_Good_Crisis
AFG,2020.0,Afghanistan,4.6,0.0,1131050820.0,741697870.0,65.57599860985911,389352950.0,65.57599860985911,0.0,50.0,65.57599860985911,46.06679923542251,Moderately Effective,True
AFG,2021.0,Afghanistan,4.65,0.1000000000000005,1474927646.0,2037763478.0,138.16023338679761,-562835832.0,100.0,0.0,44.99999999999997,100.0,63.99999999999999,Highly Effective,True
AFG,2022.0,Afghanistan,4.541666666666667,-0.2000000000000001,4442200000.0,3821708995.0,86.0318984962406,620491005.0,86.0318984962406,0.0,60.00000000000001,86.0318984962406,59.31754417293233,Moderately Effective,True
AFG,2023.0,Afghanistan,4.454545454545454,-0.0999999999999996,3227372908.0,1923273437.0,59.59253832219379,1304099471.0,59.59253832219379,0.0,54.99999999999998,59.59253832219378,43.77589607720658,Needs Improvement,False
AFG,2024.0,Afghanistan,4.4,0.0,3059587797.0,1696053535.0,55.434053458541754,1363534262.0,55.434053458541754,49.95939470105914,50.0,55.434053458541754,52.97857807746275,Moderately Effective,True
AFG,2025.0,Afghanistan,4.483333333333333,0.0999999999999996,2416811546.0,1127519120.0,46.65316672564423,1289292426.0,46.65316672564423,35.5142192153488,45.00000000000002,46.65316672564423,43.53779650294153,Needs Improvement,False
AGO,2021.0,Angola,3.2,0.0,23099697.0,14245845.0,61.671133608375904,8853852.0,61.671133608375904,0.0,50.0,61.6711336083759,43.91912348460674,Needs Improvement,False
AGO,2022.0,Angola,3.1833333333333336,-0.1,25050490.0,24805437.0,99.02176364614026,245053.0,99.02176364614026,0.0,55.0,99.02176364614026,65.46197000537714,Highly Effective,True
AGO,2023.0,Angola,3.1090909090909093,0.1,23682962.0,18322282.0,77.36482455192893,5360680.0,77.36482455192893,0.0,45.0,77.36482455192893,51.55065350356091,Moderately Effective,True
AGO,2024.0,Angola,2.9416666666666664,-0.5,20646267.0,10103738.0,48.93735995955104,10542529.0,48.93735995955104,0.0,75.0,48.93735995955104,41.91554797775307,Needs Improvement,False
AGO,2025.0,Angola,3.091666666666667,0.3000000000000002,20227157.0,11182886.0,55.28649429081902,9044271.0,55.28649429081902,0.0,34.999999999999986,55.28649429081902,37.40757185995046,Needs Improvement,False
ARM,2020.0,Armenia,,,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
ARM,2021.0,Armenia,1.6833333333333331,-0.0999999999999998,,,,,0.0,0.0,54.99999999999999,100.0,42.5,Needs Improvement,False
ARM,2022.0,Armenia,1.4,-0.3,,,,,0.0,0.0,65.0,100.0,47.5,Moderately Effective,True
ARM,2023.0,Armenia,1.6909090909090911,0.9999999999999998,,,,,0.0,0.0,1.4210854715202004e-14,100.0,15.000000000000007,Critical - Underfunded,False
ARM,2024.0,Armenia,2.216666666666667,-0.0999999999999996,,,,,0.0,0.0,54.99999999999998,100.0,42.499999999999986,Needs Improvement,False
ARM,2025.0,Armenia,2.1666666666666665,-0.1,,,,,0.0,0.0,55.0,100.0,42.5,Needs Improvement,False
AZE,2020.0,Azerbaijan,,,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
AZE,2021.0,Azerbaijan,,,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
AZE,2022.0,Azerbaijan,1.8,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
AZE,2023.0,Azerbaijan,2.0545454545454547,0.4000000000000001,,,,,0.0,0.0,29.999999999999996,100.0,30.0,Needs Improvement,False
AZE,2024.0,Azerbaijan,1.8,-0.6000000000000001,,,,,0.0,0.0,80.0,100.0,55.0,Moderately Effective,True
BDI,2020.0,Burundi,3.325,0.0,197893000.0,110941703.0,56.0614589702516,86951297.0,56.0614589702516,0.0,50.0,56.0614589702516,40.83380243363838,Needs Improvement,False
BDI,2021.0,Burundi,3.766666666666666,0.6000000000000001,194684000.0,103301459.0,53.06109336154999,91382541.0,53.06109336154999,0.0,19.999999999999996,53.06109336155,33.18360134885249,Needs Improvement,False
BDI,2022.0,Burundi,3.5666666666666664,-0.3999999999999999,182414025.0,109341278.0,59.94126712570483,73072747.0,59.94126712570483,0.0,70.0,59.94126712570483,46.96769691913766,Moderately Effective,True
BDI,2023.0,Burundi,3.4,-0.1,237180119.0,128221437.0,54.060786182504614,108958682.0,54.060786182504614,0.0,55.0,54.060786182504614,40.73343240037754,Needs Improvement,False
BDI,2024.0,Burundi,3.2999999999999994,0.0,90341310.0,62509154.0,69.19221560989098,27832156.0,69.19221560989098,0.0,50.0,69.19221560989098,48.05571858544004,Moderately Effective,True
BDI,2025.0,Burundi,3.325,0.1,132607381.0,37288993.0,28.119847265515336,95318388.0,28.119847265515336,0.0,45.0,28.119847265515332,24.46591599603343,Critical - Underfunded,False
BEN,2024.0,Benin,1.95,0.0,0.0,8958619.0,0.0,-8958619.0,0.0,0.0,50.0,100.0,30.0,Needs Improvement,False
BEN,2025.0,Benin,2.246666666666667,0.2000000000000001,0.0,7798119.0,0.0,-7798119.0,0.0,0.0,39.99999999999999,100.0,28.0,Critical - Underfunded,False
BFA,2020.0,Burkina Faso,3.86,0.0,424357861.0,319111192.0,75.19860507544598,105246669.0,75.19860507544598,0.0,50.0,75.19860507544598,51.35923279149529,Moderately Effective,True
BFA,2021.0,Burkina Faso,3.991666666666666,0.2999999999999998,607875894.0,393147528.0,64.67562406743505,214728366.0,64.67562406743505,0.0,35.00000000000001,64.67562406743505,42.571593237089274,Needs Improvement,False
BFA,2022.0,Burkina Faso,3.875,-0.3999999999999994,805099698.0,408847616.0,50.78223442582883,396252082.0,50.78223442582883,0.0,69.99999999999997,50.78223442582884,41.93022893420586,Needs Improvement,False
BFA,2023.0,Burkina Faso,3.954545454545455,0.2999999999999998,876731475.0,426010389.0,48.59074883789247,450721086.0,48.59074883789247,0.0,35.00000000000001,48.59074883789247,33.72491186084086,Needs Improvement,False
BFA,2024.0,Burkina Faso,4.166666666666667,0.0,934604385.0,493265467.0,52.77799622136376,441338918.0,52.77799622136376,100.0,50.0,52.77799622136376,64.02789792175007,Highly Effective,True
BFA,2025.0,Burkina Faso,4.083333333333333,-0.2000000000000001,792565236.0,318628105.0,40.20212980928676,473937131.0,40.20212980928676,82.90385514019097,60.00000000000001,40.20212980928677,54.83713518015546,Moderately Effective,True
BGD,2020.0,Bangladesh,3.0,0.3999999999999999,1264027556.0,829188025.0,65.59888833626029,434839531.0,65.59888833626029,0.0,30.000000000000004,65.5988883362603,42.07938858494316,Needs Improvement,False
BGD,2021.0,Bangladesh,3.2416666666666667,0.0999999999999996,943123350.0,783107844.0,83.03344880603369,160015506.0,83.03344880603369,0.0,45.00000000000002,83.0334488060337,54.66839684331853,Moderately Effective,True
BGD,2022.0,Bangladesh,3.3166666666666664,0.1,881030780.0,703374693.0,79.8354278836887,177656087.0,79.8354278836887,0.0,45.0,79.8354278836887,52.90948533602878,Moderately Effective,True
BGD,2023.0,Bangladesh,3.5375,1.0999999999999996,875927365.0,693718186.0,79.19814059011617,182209179.0,79.19814059011617,0.0,0.0,79.19814059011617,43.55897732456389,Needs Improvement,False
BGD,2024.0,Bangladesh,3.983333333333333,-0.0999999999999996,951060075.0,676856314.0,71.16861823896876,274203761.0,71.16861823896876,0.0,54.99999999999998,71.16861823896876,50.142740031432815,Moderately Effective,True
BGD,2025.0,Bangladesh,3.4250000000000003,-0.1,970135849.0,511973668.0,52.77339957365085,458162181.0,52.77339957365085,0.0,55.0,52.77339957365084,40.02536976550796,Needs Improvement,False
BGR,2023.0,Bulgaria,1.5,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
BGR,2024.0,Bulgaria,1.5916666666666668,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
BGR,2025.0,Bulgaria,1.52,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
BLR,2023.0,Belarus,1.8,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
BLR,2024.0,Belarus,1.8583333333333327,0.0999999999999998,,,,,0.0,0.0,45.00000000000001,100.0,37.5,Needs Improvement,False
BLR,2025.0,Belarus,1.7833333333333332,-0.1999999999999999,,,,,0.0,0.0,59.99999999999999,100.0,45.0,Moderately Effective,True
BOL,2025.0,Bolivia,2.9,0.0,12187019.0,2887212.0,23.69087961543344,9299807.0,23.69087961543344,0.0,50.0,23.69087961543343,23.029983788488387,Critical - Underfunded,False
BRA,2020.0,Brazil,2.3,0.0,59659922.0,71292757.0,119.49857560993794,-11632835.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
BRA,2021.0,Brazil,2.4916666666666667,0.1,98126574.0,63111056.0,64.31596806793641,35015518.0,64.31596806793641,0.0,45.0,64.31596806793641,44.37378243736502,Needs Improvement,False
BRA,2022.0,Brazil,2.5166666666666666,0.5,125548197.0,36402195.0,28.99459798693883,89146002.0,28.99459798693883,0.0,25.0,28.994597986938828,20.947028892816355,Critical - Underfunded,False
BRA,2023.0,Brazil,2.663636363636364,-0.3000000000000002,122030337.0,43414721.0,35.57699017089496,78615616.0,35.57699017089496,0.0,65.00000000000001,35.57699017089496,32.56734459399223,Needs Improvement,False
BRA,2024.0,Brazil,2.441666666666667,0.1,110207978.0,59330316.0,53.83486484072868,50877662.0,53.83486484072868,0.0,45.0,53.83486484072868,38.60917566240077,Needs Improvement,False
BRA,2025.0,Brazil,2.6500000000000004,0.2000000000000001,113420823.0,19003919.0,16.755229328568706,94416904.0,16.755229328568706,0.0,39.99999999999999,16.755229328568717,17.21537613071279,Critical - Underfunded,False
CAF,2020.0,CAR,4.0,0.0,553622290.0,439115454.0,79.3167944881699,114506836.0,79.3167944881699,0.0,50.0,79.3167944881699,53.62423696849344,Moderately Effective,True
CAF,2021.0,CAR,4.183333333333333,0.2999999999999998,444760000.0,522168777.0,117.40461754654194,-77408777.0,100.0,0.0,35.00000000000001,100.0,62.0,Highly Effective,True
CAF,2022.0,CAR,4.166666666666667,-0.2000000000000001,461253975.0,511715028.0,110.93997141162848,-50461053.0,100.0,0.0,60.00000000000001,100.0,67.0,Highly Effective,True
CAF,2023.0,CAR,4.1454545454545455,0.0,533305798.0,416695044.0,78.13435472906671,116610754.0,78.13435472906671,0.0,50.0,78.13435472906671,52.97389510098669,Moderately Effective,True
CAF,2024.0,CAR,4.066666666666666,-0.0999999999999996,413844967.0,286791668.0,69.29930067265987,127053299.0,69.29930067265987,100.0,54.99999999999998,69.29930067265987,74.11461536996292,Highly Effective,True
CAF,2025.0,CAR,4.0,0.0,326056578.0,139009552.0,42.63356772394268,187047026.0,42.63356772394268,100.0,50.0,42.633567723942676,58.448462248168475,Moderately Effective,True
CHL,2022.0,Chile,2.409090909090909,0.2999999999999998,59473329.0,12096511.0,20.339387761529206,47376818.0,20.339387761529206,0.0,35.00000000000001,20.33938776152921,18.186663268841066,Critical - Underfunded,False
CHL,2023.0,Chile,2.5454545454545454,0.1,80705133.0,19060701.0,23.617705951863062,61644432.0,23.617705951863062,0.0,45.0,23.617705951863073,21.989738273524686,Critical - Underfunded,False
CHL,2024.0,Chile,2.558333333333333,-0.1,85950872.0,13255313.0,15.421964538067748,72695559.0,15.421964538067748,0.0,55.0,15.42196453806774,19.48208049593726,Critical - Underfunded,False
CHL,2025.0,Chile,2.658333333333333,0.1,80306084.0,2691702.0,3.3518033328583177,77614382.0,3.3518033328583177,0.0,45.0,3.35180333285831,10.843491833072074,Critical - Underfunded,False
CHN,2020.0,China,3.0,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
CIV,2025.0,Côte d'Ivoire,2.1375,-0.1999999999999997,0.0,26623086.0,0.0,-26623086.0,0.0,0.0,59.999999999999986,100.0,32.0,Needs Improvement,False
CMR,2020.0,Cameroon,3.7,0.0,390920124.0,230698348.0,59.01419083761469,160221776.0,59.01419083761469,0.0,50.0,59.01419083761469,42.45780496068808,Needs Improvement,False
CMR,2021.0,Cameroon,4.025,0.5999999999999996,361554315.0,241481675.0,66.78987498738606,120072640.0,66.78987498738606,0.0,20.000000000000018,66.78987498738607,40.73443124306233,Needs Improvement,False
CMR,2022.0,Cameroon,4.108333333333333,-0.2999999999999998,376046051.0,271725406.0,72.25854527056316,104320645.0,72.25854527056316,0.0,64.99999999999999,72.25854527056315,52.74219989880973,Moderately Effective,True
CMR,2023.0,Cameroon,4.0,0.0999999999999996,407309869.0,168675111.0,41.411987245514055,238634758.0,41.411987245514055,0.0,45.00000000000002,41.41198724551405,31.776592985032735,Needs Improvement,False
CMR,2024.0,Cameroon,3.858333333333333,-0.3999999999999994,371369724.0,199525979.0,53.727045072742655,171843745.0,53.727045072742655,100.0,69.99999999999997,53.727045072742655,68.54987479000846,Highly Effective,True
CMR,2025.0,Cameroon,3.908333333333333,0.2999999999999998,359298328.0,111707940.0,31.09058164055804,247590388.0,31.09058164055804,31.891220870463187,35.00000000000001,31.090581640558028,32.07262511992272,Needs Improvement,False
COD,2020.0,DRC,4.5,0.0,2069134820.0,1184922841.0,57.26658454280905,884211979.0,57.26658454280905,0.0,50.0,57.266584542809056,41.496621498544975,Needs Improvement,False
COD,2021.0,DRC,4.55,0.0999999999999996,1984303303.0,1110696154.0,55.97411203825426,873607149.0,55.97411203825426,0.0,45.00000000000002,55.97411203825426,39.785761621039846,Needs Improvement,False
COD,2022.0,DRC,4.341666666666667,-0.3999999999999994,1881674597.0,1110929800.0,59.039421681686235,770744797.0,59.039421681686235,0.0,69.99999999999997,59.039421681686235,46.471681924927424,Moderately Effective,True
COD,2023.0,DRC,4.409090909090909,0.0999999999999996,2252684083.0,1098387531.0,48.7590576632134,1154296552.0,48.7590576632134,0.0,45.00000000000002,48.7590576632134,35.81748171476737,Needs Improvement,False
COD,2024.0,DRC,4.358333333333333,0.0,2580627746.0,1494639845.0,57.91768484690236,1085987901.0,57.91768484690236,100.0,50.0,57.91768484690236,66.85472666579629,Highly Effective,True
COD,2025.0,DRC,4.366666666666666,0.2000000000000001,2538016151.0,688183984.0,27.115035644231405,1849832167.0,27.115035644231405,43.30028036895226,39.99999999999999,27.115035644231412,33.73833969656533,Needs Improvement,False
COG,2020.0,Congo,2.175,-0.0999999999999996,11989124.0,20113199.0,167.76203999558265,-8124075.0,100.0,0.0,54.99999999999998,100.0,66.0,Highly Effective,True
COG,2021.0,Congo,3.3000000000000003,0.1999999999999997,11079843.0,10244816.0,92.46354844558718,835027.0,92.46354844558718,0.0,40.000000000000014,92.46354844558718,58.854951645072944,Moderately Effective,True
COG,2022.0,Congo,2.6666666666666665,-1.2999999999999998,15470197.0,21360714.0,138.0765480879138,-5890517.0,100.0,0.0,100.0,100.0,75.0,Highly Effective,True
COG,2023.0,Congo,2.2545454545454544,0.0999999999999996,18698995.0,15164707.0,81.0990483713162,3534288.0,81.0990483713162,0.0,45.00000000000002,81.09904837131621,53.60447660422392,Moderately Effective,True
COG,2024.0,Congo,2.6083333333333334,0.3000000000000002,23619974.0,34443392.0,145.82315797638051,-10823418.0,100.0,0.0,34.999999999999986,100.0,62.0,Highly Effective,True
COG,2025.0,Congo,2.7,0.0,22496182.0,32497443.0,144.45759284842202,-10001261.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
COL,2020.0,Colombia,4.1,-0.3000000000000002,553280569.0,520447814.0,94.06580370979918,32832755.0,94.06580370979918,0.0,65.00000000000001,94.06580370979918,64.73619204038955,Highly Effective,True
COL,2021.0,Colombia,3.991666666666666,0.3000000000000002,815000845.0,505949697.0,62.07965305851923,309051148.0,62.07965305851923,0.0,34.999999999999986,62.07965305851923,41.14380918218557,Needs Improvement,False
COL,2022.0,Colombia,3.9416666666666655,-0.2000000000000001,1085757791.0,486991044.0,44.85264098832518,598766747.0,44.85264098832518,0.0,60.00000000000001,44.85264098832518,36.668952543578854,Needs Improvement,False
COL,2023.0,Colombia,3.9818181818181815,-0.1,948184043.0,437608268.0,46.15224979060315,510575775.0,46.15224979060315,0.0,55.0,46.15224979060315,36.38373738483173,Needs Improvement,False
COL,2024.0,Colombia,3.9666666666666655,0.0999999999999996,907860094.0,456420792.0,50.27435339613022,451439302.0,50.27435339613022,100.0,45.00000000000002,50.274353396130216,61.65089436787162,Highly Effective,True
COL,2025.0,Colombia,3.9785714285714286,-0.0999999999999996,809539590.0,203739036.0,25.167272671618196,605800554.0,25.167272671618196,69.71554201396529,54.99999999999998,25.167272671618207,42.27088547288133,Needs Improvement,False
CRI,2020.0,Costa Rica,1.1,0.0,59659922.0,9762846.0,16.36416152203484,49897076.0,16.36416152203484,0.0,50.0,16.36416152203485,19.000288837119164,Critical - Underfunded,False
CRI,2021.0,Costa Rica,1.1416666666666668,0.0,7782642.0,16945411.0,217.73339953193275,-9162769.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
CRI,2022.0,Costa Rica,1.616666666666667,1.0,9409183.0,22922763.0,243.6211836883181,-13513580.0,100.0,0.0,0.0,100.0,55.0,Moderately Effective,True
CRI,2023.0,Costa Rica,2.0454545454545454,0.0,10369525.0,25839315.0,249.18513625262486,-15469790.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
CRI,2024.0,Costa Rica,2.2,0.0,12561603.0,23539814.0,187.39498454138376,-10978211.0,100.0,0.0,50.0,100.0,65.0,Highly Effective,True
CRI,2025.0,Costa Rica,2.1083333333333334,-0.1,18903343.0,1059282.0,5.603675498032279,17844061.0,5.603675498032279,0.0,55.0,5.603675498032274,14.082021523917753,Critical - Underfunded,False
CUB,2025.0,Cuba,3.033333333333333,0.0,0.0,23200494.0,0.0,-23200494.0,0.0,0.0,50.0,100.0,30.0,Needs Improvement,False
CZE,2023.0,Czech Republic,1.8,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
CZE,2024.0,Czech Republic,1.8166666666666669,0.0999999999999998,,,,,0.0,0.0,45.00000000000001,100.0,37.5,Needs Improvement,False
CZE,2025.0,Czech Republic,1.9,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
DJI,2020.0,Djibouti,2.95,0.1,44235312.0,33791027.0,76.38925887987406,10444285.0,76.38925887987406,0.0,45.0,76.38925887987406,51.01409238393073,Moderately Effective,True
DJI,2021.0,Djibouti,2.7416666666666667,-0.2000000000000001,12150800.0,21278643.0,175.12133357474403,-9127843.0,100.0,0.0,60.00000000000001,100.0,67.0,Highly Effective,True
DJI,2022.0,Djibouti,2.6166666666666667,-0.0999999999999996,9376294.0,70542587.0,752.3504169131215,-61166293.0,100.0,0.0,54.99999999999998,100.0,66.0,Highly Effective,True
DJI,2023.0,Djibouti,2.8000000000000003,0.1999999999999997,4657000.0,63649642.0,1366.7520292033498,-58992642.0,100.0,0.0,40.000000000000014,100.0,63.0,Highly Effective,True
DJI,2024.0,Djibouti,2.8666666666666667,-0.1,8324000.0,28597878.0,343.55932244113404,-20273878.0,100.0,0.0,55.0,100.0,66.0,Highly Effective,True
DJI,2025.0,Djibouti,2.7416666666666667,-0.0999999999999996,11691000.0,22392579.0,191.53690017962535,-10701579.0,100.0,0.0,54.99999999999998,100.0,66.0,Highly Effective,True
